,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9524"
accordeon,accordion,3,2,3,4,2,3,2,3,3,3,3,3,4,2,2,2,3,4,3,1,3,2,2,4,3,2,2,3,2.714285714,0.76289618,28,,
banjo,banjo,3,1,2,3,1,2,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2.25,0.645497224,28,,
basgitaar,bass guitar,4,3,5,4,3,4,3,5,3,3,4,2,4,3,3,3,3,3,3,4,5,3,3,4,3,3,3,4,3.464285714,0.744468135,28,,
cello,cello,2,2,3,2,1,3,2,2,3,3,3,2,4,2,3,2,3,2,3,1,4,4,2,2,2,2,2,3,2.464285714,0.792658109,28,,
cimbalen,cymbals,3,1,3,2,2,4,2,2,3,3,3,3,3,2,2,2,2,3,2,1,3,2,2,2,2,2,2,3,2.357142857,0.678466993,28,,
contrabas,double bass,3,1,4,3,1,4,2,2,3,3,3,3,3,2,3,2,3,3,3,1,3,4,2,3,3,2,2,2,2.607142857,0.831744517,28,,
doedelzak,bagpipe,3,1,3,3,2,3,2,2,2,3,3,2,3,2,2,2,2,2,3,1,3,2,3,2,2,2,2,4,2.357142857,0.678466993,28,,
drumstel,drum set,4,2,5,2,4,5,4,4,3,3,3,3,4,2,3,3,3,4,3,4,5,3,3,3,4,3,3,4,3.428571429,0.835710894,28,,
dwarsfluit,flute,4,2,4,2,2,3,3,2,3,3,3,3,4,5,3,2,3,3,4,3,4,3,2,3,3,2,2,3,2.964285714,0.792658109,28,,
fagot,bassoon,2,1,2,2,1,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,2,3,3,2,1,2,2.142857143,0.59093684,28,,
fluit,flute,4,3,3,4,2,3,3,3,4,3,3,4,4,5,3,2,3,4,3,5,2,3,2,4,2,3,3,4,3.25,0.844371342,28,,
gitaar,guitar,4,3,5,4,3,4,4,5,4,3,5,3,4,4,4,3,3,4,4,3,5,4,4,4,3,3,4,5,3.857142857,0.705233647,28,,
harp,harp,2,2,3,3,1,4,2,2,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,3,2,2,2,4,2.428571429,0.690065559,28,,
klarinet,clarinet,4,2,3,3,1,3,3,3,3,3,2,2,4,3,2,2,3,3,2,2,3,2,3,3,4,2,2,3,2.678571429,0.722832465,28,,
klavecimbel,harpsichord,3,1,2,2,1,2,2,2,3,3,3,2,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2,2,2.142857143,0.59093684,28,,
mondharmonica,harmonica,3,2,2,2,2,4,2,2,2,3,4,2,4,2,2,2,3,3,3,2,2,2,2,3,4,2,2,3,2.535714286,0.744468135,28,,
orgel,organ,2,2,3,3,2,3,2,3,3,3,3,2,4,2,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2.464285714,0.576203594,28,,
panfluit,pan flute,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,2,2,3,2.25,0.518187725,28,,
piano,piano,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,5,2,4,4,3,4,3,3,3,5,3.678571429,0.669636243,28,,
saxofoon,saxophone,3,2,4,4,2,4,3,3,2,3,3,2,4,3,2,2,3,3,3,1,5,2,2,3,4,3,3,3,2.892857143,0.875141712,28,,
synthesizer,synthesizer,2,1,4,4,2,4,3,3,3,3,3,3,4,3,3,2,3,3,4,3,3,2,3,2,2,3,2,3,2.857142857,0.755928946,28,,
tamboerijn,tambourine,3,2,2,3,1,4,3,3,3,3,3,3,3,2,2,2,2,4,3,1,2,2,2,2,3,2,2,1,2.428571429,0.790151014,28,,
triangel,triangle,3,2,2,3,1,4,2,2,3,3,3,2,4,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2.464285714,0.692934867,28,,
trombone,trombone,2,1,2,2,1,3,2,2,3,3,3,2,3,2,2,2,2,2,2,1,4,2,2,2,2,2,2,1,2.107142857,0.685256682,28,,
trommel,drum,3,2,4,4,2,4,3,3,3,3,3,3,4,3,3,2,3,4,3,2,4,3,3,3,3,3,3,2,3.035714286,0.63724772,28,,
trompet,trumpet,4,2,3,4,1,4,3,2,3,3,3,3,4,4,3,2,3,3,3,2,4,3,2,2,3,3,2,4,2.928571429,0.813250061,28,,
viool,violin,4,3,3,4,1,4,3,4,3,3,3,3,4,3,4,2,3,3,4,2,3,3,3,2,2,3,3,4,3.071428571,0.766356045,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
