,feature/ exemplar ENGLISH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
is populair,is popular,3,4,1,4,4,4,2,3,2,0,3,4,2,2,3,1,3,2,1,3,1,4,4,2,0,3,4,0,1,1,0
is vermoeiend,is tiring,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan een beroep zijn,can be a profession,4,1,0,2,2,0,0,3,1,1,0,0,1,2,1,0,0,2,2,1,3,0,2,0,2,1,0,3,3,4,2
kan in competitie worden beoefend,can be practised in competition,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
spieren ontwikkelen,develop muscles,3,0,1,4,4,1,4,3,1,2,3,0,1,2,3,1,0,0,1,0,4,0,3,3,2,0,0,0,2,1,3
supporters moedigen de spelers aan,supporters encourage the players,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vergt aangepaste kledij,needs adapted clothing,4,0,0,1,3,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
vergt een goede conditie,needs a good condition,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
vergt specifieke technieken,needs specific skills,3,0,0,1,1,1,1,0,1,0,1,2,0,0,1,1,1,0,0,1,0,1,1,0,0,3,1,0,0,1,0
vergt veel training,needs a lot of training,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,0,3,3,1,3,3,3,3,4,3,3,3,2,3
wordt binnen gespeeld,is practised indoor,4,2,2,3,3,0,3,0,3,4,4,3,0,3,4,0,2,4,0,3,3,3,3,3,2,3,3,1,3,3,2
wordt buiten beoefend,is practised outdoor,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
wordt gespeeld in clubverband,is practised in a club,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
wordt vaak in groepsverband gedaan,can be practised in group,8,4,0,3,3,4,4,2,3,0,3,4,1,0,3,4,4,0,0,4,0,4,4,0,0,3,3,0,0,0,0
er zijn verschillende soorten van,exists in different kinds,12,0,3,0,0,3,4,3,0,4,0,2,0,3,0,0,1,2,0,0,3,0,2,3,0,3,2,0,3,2,4
kan blessures opleveren,can cause injuries,2,4,4,4,4,2,4,3,4,4,4,4,3,4,4,2,4,4,2,4,4,4,4,4,4,4,4,3,4,3,4
kan verslavend werken,can become addictive,3,2,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
vereist concentratie / geestelijke inspanning,requires concentration / mental effort,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,3,4,4
vergt motivatie,requires motivation,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
veroorzaakt vetverbranding,burns fat,2,3,3,3,3,0,3,1,3,3,3,3,3,0,3,0,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3
