,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9759"
beha,bra,13,20,6,14,9,14,19,20,20,19,17,20,15,9,16,7,14,11,10,12,10,12,18,6,12,15,13,12,13.67857143,4.338062133,28,,
bloes,blouse,17,20,17,17,12,17,20,19,20,18,20,20,12,8,20,12,17,17,20,18,19,14,20,20,20,19,20,15,17.42857143,3.202181796,28,,
broek,pants,20,20,17,18,19,20,20,20,20,20,17,20,16,10,19,10,17,15,20,20,19,14,20,20,20,20,20,20,18.25,2.888354651,28,,
das,tie,11,20,2,15,10,14,15,16,20,19,15,18,13,10,13,10,7,17,13,15,14,8,11,5,10,11,15,15,12.92857143,4.319881441,28,,
hemd,shirt,16,20,16,17,18,20,20,18,20,20,20,20,15,7,19,14,17,17,20,19,19,14,20,20,20,20,20,20,18.07142857,2.930409799,28,,
hoed,hat,9,14,3,14,10,13,17,19,20,16,12,16,1,15,14,7,6,11,12,12,6,9,11,1,9,10,11,16,11.21428571,4.901678797,28,,
jas,coat,16,20,16,18,16,16,20,19,20,20,17,20,15,13,20,15,17,16,20,18,18,14,20,20,20,20,16,18,17.78571429,2.183390887,28,,
jeans,jeans,13,20,17,18,19,20,20,20,20,20,20,20,14,9,20,16,16,15,20,19,19,15,20,20,20,19,20,15,18,2.841491523,28,,
jogging,tracksuit,16,20,6,16,9,15,18,15,20,16,16,20,14,13,19,16,16,8,20,15,13,11,20,20,16,13,20,14,15.53571429,3.824696966,28,,
kleed,dress,18,20,15,16,19,20,20,15,20,20,15,20,15,7,20,13,14,12,20,19,16,14,20,18,17,19,20,15,17.03571429,3.248727875,28,,
kostuum,suit,14,20,13,17,16,15,20,18,20,19,19,20,14,17,20,9,14,17,18,18,15,14,20,16,16,19,20,19,17.03571429,2.781980947,28,,
laarzen,boots,14,20,9,13,8,5,16,15,20,18,13,17,3,10,14,6,12,14,19,15,12,8,16,11,9,7,13,14,12.53571429,4.492645371,28,,
muts,beanie,6,20,7,14,9,4,18,19,20,17,15,15,4,6,16,8,13,13,11,12,7,8,11,1,9,9,14,15,11.46428571,5.145887555,28,,
pet,cap,8,20,4,14,9,12,15,12,20,17,13,16,4,16,14,9,16,13,14,12,6,8,11,4,10,10,11,16,11.92857143,4.42156811,28,,
pyjama,pyjamas,16,14,5,16,8,9,17,14,20,17,13,18,7,9,18,9,14,10,7,15,15,15,20,10,10,13,18,10,13.10714286,4.228118273,28,,
riem,belt,9,20,7,14,10,12,16,13,13,17,11,16,1,12,14,9,8,11,17,10,5,9,11,2,9,9,11,8,10.85714286,4.318043845,28,,
rok,skirt,16,20,17,16,15,20,20,19,20,20,18,20,14,12,19,15,17,15,20,18,19,14,20,20,18,20,20,17,17.82142857,2.373520146,28,,
salopet,dungarees,14,20,10,17,10,12,19,12,20,16,15,20,7,15,19,-1,13,9,8,16,17,12,-1,10,11,14,20,14,14.23076923,4.003075741,26,,
schoenen,shoes,4,20,5,15,10,4,15,16,20,18,14,18,8,4,17,6,10,15,20,15,10,8,16,6,9,16,13,14,12.35714286,5.250850271,28,,
short,shorts,9,20,15,17,17,14,18,13,20,20,16,20,13,13,18,14,16,15,20,18,18,14,20,20,17,17,20,15,16.67857143,2.893844955,28,,
sjaal,scarf,10,20,4,14,9,7,15,17,20,17,12,17,3,9,14,7,7,12,10,12,8,8,20,6,10,17,14,17,12,4.929127336,28,,
slip,panties,12,20,3,15,9,17,19,18,20,17,17,19,9,10,14,8,14,11,11,13,10,10,20,15,10,16,13,12,13.64285714,4.313753077,28,,
sokken,socks,6,20,7,15,14,18,19,17,20,16,15,18,9,18,18,6,13,12,14,13,16,8,20,13,11,18,14,16,14.42857143,4.237649343,28,,
sweater,sweater,11,20,15,18,20,20,20,20,20,20,19,20,15,11,20,15,16,15,20,18,19,10,20,14,17,19,20,13,17.32142857,3.232400455,28,,
t-shirt,t-shirt,14,20,16,17,18,17,20,20,20,19,16,20,12,6,17,10,16,15,20,19,18,14,20,20,19,16,19,17,16.96428571,3.393699422,28,,
topje,top,20,20,18,18,19,20,20,19,20,20,18,20,16,12,19,13,17,16,20,19,19,14,20,20,20,20,20,15,18.28571429,2.354776751,28,,
trui,pullover,18,20,19,18,20,20,20,14,20,20,17,20,15,4,19,15,17,16,20,19,19,15,20,20,20,20,20,13,17.78571429,3.467917967,28,,
wanten,mittens,7,20,3,14,8,6,17,10,20,16,14,16,4,7,13,8,14,11,10,13,7,8,16,4,9,11,14,14,11.21428571,4.685336802,28,,
zwempak,bathing suit,7,12,6,14,7,12,16,10,20,16,12,18,5,16,12,7,8,10,10,12,9,8,16,11,11,14,16,16,11.82142857,3.935155618,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,
