,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9759"
badminton,badminton,17,13,10,16,10,20,20,10,14,18,15,8,16,19,20,16,20,17,18,14,12,20,20,19,20,18,16,18,16.21428571,3.614345316,28,,
ballet,ballet,3,19,12,13,19,20,13,12,7,20,16,13,14,18,16,17,19,13,16,11,8,20,14,15,11,18,14,16,14.53571429,4.167618939,28,,
baseball,baseball,18,17,11,15,19,12,20,12,8,20,14,16,15,19,19,19,20,15,16,17,12,20,20,19,18,18,15,17,16.46428571,3.214344503,28,,
basketbal,basketball,18,19,16,17,19,20,20,11,20,20,16,18,20,19,20,19,20,20,18,17,18,20,20,18,20,19,18,20,18.57142857,1.951800146,28,,
biljarten,billiards,6,4,5,12,10,12,15,3,1,7,7,4,4,15,10,17,20,1,12,5,6,20,20,14,7,10,12,15,9.785714286,5.717789931,28,,
boksen,boxing,3,17,16,16,19,20,20,8,11,16,17,11,13,17,19,17,20,17,14,13,10,20,20,18,17,16,15,17,15.60714286,4.067388695,28,,
golf,golfing,9,7,4,13,3,20,18,13,6,12,13,8,12,16,16,14,20,1,15,7,5,20,20,17,16,9,15,18,12.39285714,5.632835519,28,,
handbal,handball,18,19,12,12,17,17,20,9,17,20,14,12,20,18,19,19,20,20,17,14,15,20,20,19,18,17,14,14,16.82142857,3.103803777,28,,
hardlopen,running,19,19,19,20,20,20,20,14,14,20,16,13,20,18,20,19,19,20,18,20,16,20,20,18,19,16,17,20,18.35714286,2.111946368,28,,
ijshockey,ice hockey,18,18,4,16,17,20,20,15,8,19,16,8,13,18,18,18,20,18,17,14,15,20,20,17,16,19,14,15,16.10714286,3.928427126,28,,
judo,judo,16,16,16,18,18,20,18,11,14,18,17,13,18,20,18,18,20,20,17,13,14,20,20,19,19,18,14,15,17.07142857,2.522910891,28,,
kogelstoten,shot-put,8,10,10,16,12,11,17,7,6,10,13,7,10,16,15,17,20,16,15,11,6,20,20,16,16,14,12,13,13,4.18993503,28,,
paardrijden,horseback riding,4,15,18,18,20,18,16,9,12,13,14,11,3,16,19,19,20,8,15,12,11,20,20,17,20,19,14,20,15.03571429,4.8570845,28,,
rugby,rugby,4,19,9,12,18,17,20,12,8,17,15,14,15,18,18,19,20,20,17,11,15,20,20,18,19,18,14,14,15.75,4.115238169,28,,
schaken,chess,1,3,2,8,1,9,10,3,1,3,7,1,6,15,13,5,13,1,12,4,5,18,18,14,13,9,11,10,7.714285714,5.401351977,28,,
schermen,fencing,17,12,7,15,18,12,16,7,6,14,15,8,10,17,17,15,20,16,15,7,10,20,20,16,15,13,13,14,13.75,4.106228332,28,,
skiën,skiing,16,18,11,20,20,19,20,12,9,20,15,17,15,16,17,18,20,11,17,13,14,20,20,19,16,18,14,20,16.60714286,3.247098827,28,,
sportvissen,sport fishing,7,5,1,5,1,12,4,3,4,8,3,1,5,14,10,14,20,1,11,3,4,18,18,16,9,8,12,12,8.178571429,5.735229476,28,,
squash,squash,17,19,12,17,17,20,20,13,7,20,16,14,20,16,18,15,20,16,18,18,12,20,20,18,19,14,13,16,16.60714286,3.212698021,28,,
surfen,surfing,16,17,5,11,16,20,17,13,3,19,12,17,16,17,19,18,20,5,15,14,14,20,20,16,17,17,14,18,15.21428571,4.524477812,28,,
tafeltennis,table tennis,10,16,13,17,5,20,20,12,13,12,9,11,13,16,18,17,20,5,16,16,14,20,20,19,19,8,14,14,14.53571429,4.434562427,28,,
tennis,tennis,19,20,18,19,18,20,20,11,20,20,17,18,20,19,20,19,20,14,18,18,18,20,20,20,20,19,18,20,18.67857143,2.019416334,28,,
turnen,gymnastics,19,20,17,16,20,20,20,9,14,20,17,12,17,19,19,19,20,19,16,17,11,20,20,16,17,19,14,18,17.32142857,2.982089392,28,,
verspringen,long jump,18,17,8,18,20,20,20,6,14,19,15,11,20,16,15,17,20,16,15,15,11,20,20,16,18,16,15,12,16,3.721807605,28,,
voetbal,soccer,16,20,19,20,18,20,20,8,20,20,17,20,20,19,20,19,20,20,18,19,19,20,20,19,20,20,20,20,18.96428571,2.380198293,28,,
volleybal,volleyball,17,20,17,18,18,20,20,13,20,20,17,15,20,18,20,19,20,18,18,18,18,20,20,17,20,19,15,16,18.25,1.878237945,28,,
wandelen,walking,15,7,10,17,11,10,15,5,9,18,14,4,13,16,15,11,17,5,15,13,3,18,18,14,14,11,11,12,12.17857143,4.355104042,28,,
wielrennen,cycling,14,14,18,20,20,20,20,5,20,20,15,16,20,17,20,17,20,18,18,19,15,20,20,17,20,19,19,20,17.89285714,3.224205739,28,,
zeilen,sailing,11,15,7,14,7,17,14,1,9,20,12,6,12,18,16,16,19,1,14,9,14,18,20,17,11,17,13,14,12.92857143,5.127475528,28,,
zwemmen,swimming,19,20,18,20,20,20,20,10,16,20,17,18,20,18,20,19,20,20,17,18,17,20,20,18,20,19,16,20,18.57142857,2.150427545,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
