,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9826"
auto,car,20,19,20,20,20,20,19,20,17,20,20,20,19,20,20,20,20,20,20,20,20,20,20,18,20,20,20,19,19.67857143,0.722832465,28,,
boot,boat,17,13,11,11,17,13,14,6,16,15,14,8,11,19,7,17,4,14,5,9,17,20,12,2,15,15,20,15,12.75,4.827582786,28,,
bromfiets,scooter,16,15,15,19,18,17,18,20,16,16,18,7,17,20,20,18,20,20,6,11,20,20,16,16,17,17,20,16,16.75,3.596551847,28,,
brommer,motorbike,17,15,16,18,18,17,15,20,17,16,18,9,18,20,17,20,20,20,16,17,20,20,14,16,17,16,20,16,17.25,2.44381305,28,,
bus,bus,20,15,17,19,18,19,19,20,17,17,20,14,19,20,20,19,20,20,18,18,20,20,18,17,19,18,20,17,18.5,1.598610508,28,,
camion,truck,9,14,16,18,18,15,19,20,16,16,16,10,19,20,20,18,16,20,18,17,20,20,18,18,19,18,13,17,17.07142857,2.853569194,28,,
camionette,van,18,18,17,18,17,17,18,20,14,13,20,16,20,20,20,19,19,20,16,20,20,20,20,18,17,17,20,17,18.17857143,1.925531604,28,,
caravan,trailer ,15,6,13,12,13,14,12,18,14,12,13,14,9,20,20,18,6,9,18,1,14,20,12,9,5,13,17,6,12.60714286,4.901543866,28,,
duikboot,submarine,4,8,7,3,11,1,4,5,13,8,4,1,5,19,7,13,4,5,4,1,12,18,6,1,12,13,13,3,7.321428571,5.121151284,28,,
fiets,bicycle,20,17,16,15,18,19,13,20,17,17,20,15,17,20,12,20,16,20,6,19,20,20,18,9,19,19,20,16,17.07142857,3.526918406,28,,
gocart,go-cart,11,8,10,11,13,6,8,4,13,4,9,12,10,18,7,14,2,13,4,13,13,16,9,1,10,13,17,10,9.964285714,4.358747211,28,,
helikopter,helicopter,17,10,11,10,18,9,8,9,15,12,8,15,15,20,7,15,8,14,5,8,15,20,13,13,16,16,20,8,12.67857143,4.320953011,28,,
hovercraft,hovercraft,9,9,3,8,15,7,3,18,12,3,-1,13,-1,17,-1,-1,3,12,6,-1,16,20,8,3,5,12,14,3,9.52173913,5.476143012,23,,
jeep,jeep,20,16,15,20,18,19,18,20,16,14,20,10,16,20,20,18,20,20,15,19,20,20,18,18,19,17,20,16,17.92857143,2.448409483,28,,
kar,cart,6,8,11,10,13,5,6,2,15,10,7,6,6,18,7,16,4,12,16,10,13,20,11,8,10,15,9,12,10.21428571,4.42515656,28,,
koets,carriage,11,5,14,8,13,11,16,20,14,8,7,10,3,15,7,17,4,13,12,19,15,20,11,8,12,14,13,12,11.85714286,4.51100946,28,,
luchtballon,(hot air) balloon,14,12,7,5,14,3,7,11,12,2,2,6,9,18,1,12,3,13,4,12,12,16,10,1,13,15,20,6,9.285714286,5.380741673,28,,
metrostel,subway train,14,6,17,8,13,18,15,20,8,6,10,17,14,20,-1,18,5,20,12,6,13,20,18,12,14,13,20,16,13.81481481,4.89141349,27,,
moto,motorbike,18,17,16,18,18,17,15,20,15,17,20,8,17,20,17,18,18,20,14,20,20,20,17,16,17,17,20,15,17.32142857,2.568377084,28,,
raket,rocket,13,8,1,1,13,1,1,3,13,1,1,1,5,15,2,10,9,9,5,5,11,16,7,1,10,11,6,3,6.5,4.955356249,28,,
skateboard,skateboard,13,3,7,11,12,2,3,1,13,4,3,9,3,16,10,14,2,12,4,9,12,16,9,4,10,12,13,12,8.535714286,4.717831759,28,,
slede,sled,12,6,7,5,12,3,12,1,7,3,4,8,11,16,7,14,1,8,6,6,15,16,8,1,8,11,9,9,8.071428571,4.379485607,28,,
step,kick scooter,13,11,12,9,14,9,6,1,12,4,9,7,7,14,7,16,8,15,9,13,17,16,11,1,9,14,12,13,10.32142857,4.225614761,28,,
taxi,taxi,15,15,16,20,18,17,17,20,16,18,20,3,13,20,20,19,19,20,19,19,20,20,17,16,19,18,20,16,17.5,3.448026811,28,,
tractor,tractor,18,6,9,8,13,5,12,14,12,4,8,7,8,19,7,14,17,18,17,14,18,16,14,6,15,15,12,13,12.10714286,4.516138023,28,,
tram,tram,19,15,17,16,18,18,15,20,9,9,17,16,16,20,20,18,18,20,14,15,20,20,15,12,15,16,20,16,16.57142857,3.060241717,28,,
trein,train,20,15,18,10,18,19,16,20,16,15,17,13,18,20,20,20,20,20,13,20,20,20,16,12,20,19,20,16,17.53571429,2.91207121,28,,
vliegtuig,airplane,15,13,16,16,18,10,8,16,17,10,17,8,11,19,7,17,18,20,14,19,17,20,15,7,20,18,20,15,15.03571429,4.194194779,28,,
vrachtwagen,truck,20,14,15,18,16,13,19,20,14,18,15,17,17,20,20,20,16,20,18,20,20,20,19,15,20,20,20,17,17.89285714,2.314835979,28,,
zeppelin,Zeppelin,8,7,3,3,11,3,5,18,15,2,4,15,7,16,-1,13,2,8,6,1,13,16,4,4,10,12,16,4,8.37037037,5.336003605,27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
